Sr. No.,State,Total,Bridge Persons Killed,Culvert Persons Killed,Pot Holes Persons Killed,Steep Grade Persons Killed,Under Construction Persons Killed,Others Persons Killed
1,Andhra Pradesh,"3,114",268,121,32,15,96,414
2,Arunachal Pradesh,54,15,13,6,13,19,29
3,Assam,"1,690",229,119,93,63,123,296
4,Bihar,"3,436",178,206,0,102,16,602
5,Chhattisgarh,"1,421",158,143,28,24,84,818
6,Goa,107,1,0,1,0,0,0
7,Gujarat,"1,898",270,135,5,117,102,2
8,Haryana,"1,901",216,150,20,88,151,"1,698"
9,Himachal Pradesh,487,20,0,16,54,19,2
10,Jammu & Kashmir,384,5,5,0,9,17,661
11,Jharkhand,"1,554",184,117,94,95,53,698
12,Karnataka,"3,842",327,12,38,38,144,13
13,Kerala,"1,259",41,17,7,11,28,699
14,Madhya Pradesh,"2,904",224,279,91,136,317,"2,282"
15,Maharashtra,"3,799",321,213,72,361,341,24
16,Manipur,111,7,5,0,0,2,2
17,Meghalaya,89,4,0,2,0,0,59
18,Mizoram,19,0,0,0,3,1,0
19,Nagaland,18,0,3,0,0,9,2
20,Odisha,"2,000",193,162,117,33,286,660
21,Punjab,"1,693",267,242,245,53,281,506
22,Rajasthan,"3,870",58,44,34,23,126,"1,217"
23,Sikkim,29,2,0,1,4,4,19
24,Tamil Nadu,"3,956",544,180,93,87,73,205
25,Telangana,"2,491",176,163,49,16,90,813
26,Tripura,106,11,5,0,0,0,1
27,Uttarakhand,428,23,7,15,8,34,52
28,Uttar Pradesh,"8,830","1,576","1,205","1,034",797,"1,858","4,389"
29,West Bengal,"2,002",142,89,31,5,142,0
30,Andaman & Nicobar Islands,7,0,2,0,1,0,0
31,Chandigarh,13,0,0,0,0,0,0
32,Dadra & Nagar Haveli,0,2,0,0,0,0,0
33,Daman & Diu,0,4,0,0,0,0,0
34,Delhi,278,72,4,16,3,39,217
35,Lakshadweep,0,0,0,0,0,0,0
36,Puducherry,82,15,0,0,1,0,19
